x,n300_reference,n799_pre_drift1,n900_post_drift1,n1499_pre_drift2,n1600_post_drift2,n2199_pre_drift3,n2400_post_drift3_200,n2999_final
-0.4210526315789478,0.44561714737360153,0.33480683471972367,0.3914870029095293,0.19345181844799114,0.20044647008873223,0.14547694879676962,0.08444244158813352,0.14071791006627601
-0.38596491228070207,0.42835545514804224,0.39580188545261213,0.4423469611473007,0.23796772222781418,0.2513889374976958,0.17063903063366453,0.11244774964037872,0.139961714041476
-0.35087719298245634,0.40920317714709364,0.45436132017545844,0.4721340063197631,0.27557496728471187,0.28963663485245195,0.20019714543305944,0.16093847158152075,0.1377577513520331
-0.3157894736842106,0.39061893267947,0.4999569783524829,0.47619716043232685,0.298695355450205,0.30719971082166986,0.2278375266345679,0.21689758714377116,0.13807350921614756
-0.2807017543859649,0.3749320135258662,0.5239000110355565,0.45455077885016354,0.30301318959384343,0.3011152680045807,0.24639447186739463,0.2632546796939803,0.14296179987926055
-0.24561403508771962,0.3641188121138319,0.5211319724519219,0.41184642352478207,0.28834797548355257,0.27395988955779815,0.25000318319446324,0.28448597968995737,0.15149089494347145
-0.2105263157894739,0.3596132597440964,0.491389987513816,0.3564800922777863,0.25852704317196834,0.23296459454218543,0.2361356619537043,0.272002336273759,0.15995679750456254
-0.17543859649122817,0.362169285682274,0.43949571389904674,0.2990178212905924,0.220350146190063,0.188035778509988,0.2068138824459517,0.22745623159986517,0.16334456582808635
-0.1403508771929829,0.3717887267129749,0.37467863951337077,0.2502477938853424,0.18195600114097724,0.1492551738584531,0.1685112884330447,0.16275334468609445,0.15750915301992857
-0.10526315789473717,0.38772217387150576,0.3090272803934956,0.2192299365740797,0.1510236237526592,0.12453257384295682,0.13065647561053723,0.09664621054858902,0.14123516603129832
-0.07017543859649145,0.4085434299576972,0.25533239295602544,0.21170428654636658,0.13324320585365135,0.11799781037878865,0.10311314484093931,0.04894954057943021,0.11733332293943374
-0.03508771929824572,0.432291168470186,0.2247112392437105,0.22914137891773564,0.1313808257427148,0.12947735885667055,0.09337258602871289,0.034249790064291886,0.09225186323774716
0.0,0.4566646935640464,0.22445605241978947,0.2685888945565921,0.1450775134841491,0.15508171271114007,0.10432989625749697,0.057192878534746486,0.07421683584773055
0.03508771929824572,0.4792550659923378,0.25652093652562447,0.3233154622510031,0.17132274669135017,0.18862658864581106,0.1333659963425887,0.1109400156700519,0.07047509745179821
