N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution
20000,99,0.0,6.0,1.0,400,0.06,7,11,2,0.18181818181818182,2,2,0,0.0,499,16849,8674.0,8674.0,0.06123503237135264,0.025349493441651303,14,499.0,16849.0,,,
20000,42,0.0,3.0,0.7,300,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,67,13566,4287.8,2144.0,0.09201908953317066,0.03530986062505435,41,6816.5,2831.0,2144.0,,
20000,7,0.0,3.0,0.7,300,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,81,12875,4161.6,2117.0,0.087800311619362,0.03413824512398203,35,6478.0,2867.5,2117.0,,
20000,123,0.0,3.0,0.7,300,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,85,5267,2155.75,1635.5,0.09069400635647934,0.0160389804460487,28,85.0,3215.5,2107.0,,
20000,2024,0.0,3.0,0.7,300,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,72,5198,2134.75,1634.5,0.08936811373259966,0.017171122038178274,31,72.0,3167.0,2133.0,,
20000,99,0.0,3.0,0.7,300,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,95,4994,2080.5,1616.5,0.086389192239475,0.01780710332798601,32,95.0,3041.0,2145.0,,
20000,42,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,680,680,680.0,680.0,0.08069205495756826,0.018552425561526205,8,680.0,,,,
20000,7,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,817,817,817.0,817.0,0.08058142904645187,0.016387434724258833,7,817.0,,,,
20000,123,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,911,911,911.0,911.0,0.0803388165257646,0.013197128317999891,9,911.0,,,,
20000,2024,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,1019,1019,1019.0,1019.0,0.08057533519382779,0.013796924077762687,9,1019.0,,,,
20000,99,0.0,3.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,1302,1302,1302.0,1302.0,0.08038606207854096,0.011081775151905919,7,1302.0,,,,
20000,42,0.0,6.0,0.7,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,59,11529,3900.3333333333335,3160.5,0.09185147578794742,0.02238905785181949,65,2131.5,2746.5,2117.0,11529.0,
20000,7,0.0,6.0,0.7,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,60,11300,3841.8333333333335,3110.0,0.09572898514949657,0.021812205153714088,50,2083.0,2735.5,2114.0,11300.0,
20000,123,0.0,6.0,0.7,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,60,11928,3994.3333333333335,3197.5,0.09755072589480394,0.02276018399325503,53,2177.0,2791.5,2101.0,11928.0,
20000,2024,0.0,6.0,0.7,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,58,11991,4032.1666666666665,3256.0,0.09576686695199381,0.022301368252852977,49,2218.0,2816.0,2134.0,11991.0,
