x,n300_reference,n799_pre_drift1,n900_post_drift1,n1000_post_drift1_200,n1499_pre_drift2,n1600_post_drift2,n1700_post_drift2_200,n2199_pre_drift3,n2300_post_drift3,n2400_post_drift3_200,n2999_pre_drift4,n3100_post_drift4,n3200_post_drift4_200,n3999_pre_drift5,n4100_post_drift5,n4200_post_drift5_200,n4999_pre_drift6,n5100_post_drift6,n5200_post_drift6_200,n5999_pre_drift7,n6100_post_drift7,n6200_post_drift7_200,n6999_pre_drift8,n7100_post_drift8,n7200_post_drift8_200,n8999_pre_drift9,n9100_post_drift9,n9200_post_drift9_200,n11999_pre_drift10,n12100_post_drift10,n12200_post_drift10_200,n14999_pre_drift11,n15100_post_drift11,n15200_post_drift11_200,n19999_final
7.087719298245613,0.12949282567924675,0.14457216445018584,0.12739032302540088,0.11454777041928155,0.08284940739788463,0.07812399479455592,0.0435275337361091,0.03363121294942113,0.03350510926902853,0.03181300691464428,0.0821116537448146,0.0793511720955587,0.07753716477740678,0.06330515549028826,0.06168685031192676,0.03161688349033093,0.02670698258005043,0.026183052636380856,0.043906576988162666,0.038154380105405006,0.03754887525817192,0.036897306471097915,0.04795810402853613,0.04724279351649499,0.04661366981611876,0.050853096216585104,0.05035967264256233,0.04973721864919533,0.023634393441926953,0.02387711444038694,0.023682986477157976,0.04040805164059213,0.040160625189677404,0.039913979994711586,-0.022729162240665093
7.12280701754386,0.12382087806254272,0.13822796231923778,0.1220480656297159,0.10970487091507747,0.08643637534915766,0.0816351354155934,0.04043659478474758,0.013587835985381748,0.014237152184503277,0.013365035035708996,0.05271120303912317,0.050886592699722344,0.04993826897524187,0.0411239373926803,0.04005370669532325,0.007497405616564021,0.006484515001438582,0.0063816471906717465,0.03702011708114482,0.032267380613673506,0.03176834093770951,0.03123464407613465,0.034996559968994714,0.03445988432657299,0.033990657606575866,0.03903828851533901,0.03868288924647819,0.03817280248823349,0.023043805366522993,0.023337128566038437,0.023151903257308433,0.0320396539363193,0.031843904137224176,0.03165093600450174,-0.022299208571084157
7.157894736842104,0.11544349475824443,0.12828177103486368,0.11352723178778079,0.1020070771867358,0.08751934697511547,0.08280900994954678,0.03661608664815887,-0.0060838276402328285,-0.00467373853056437,-0.004685124033121331,0.02223109380286724,0.02138299516167568,0.021303804003115663,0.01806502456024743,0.017567196201591258,-0.015895468327484123,-0.01313723881952129,-0.01283256350236989,0.029117041816167564,0.025489457175600513,0.025109733381981237,0.024709015143943316,0.02087339683632151,0.020534179673513182,0.02024042169528165,0.025663846241444972,0.02545936645799021,0.025084095954408636,0.021585228956080962,0.02192498744455957,0.02176615489018585,0.02263429262187757,0.022496016776686258,0.022362443752424854,-0.01956708620626883
7.192982456140351,0.10464669592666553,0.11513988133526881,0.10217806919638028,0.09177021609684496,0.08610777808266677,0.08164997521065398,0.03223665755541225,-0.02457701933473284,-0.022452267043050596,-0.021602496209801543,-0.008050079042847479,-0.007922216948956465,-0.00716335857508898,-0.00489773107020911,-0.004823060071632048,-0.037583636677716956,-0.031337937235342186,-0.030656440165878023,0.020443414250138944,0.01803041921822233,0.017779078197199098,0.017521722071329033,0.006218714132165085,0.006086927747948799,0.00597655147686417,0.011360124451193457,0.01131247979818038,0.011088023269824963,0.019203052267526714,0.019584409439506553,0.01946825057523547,0.01266390564986166,0.01258612447202237,0.012514747548838384,-0.014850971000588069
7.228070175438596,0.09175519938460794,0.09927576268672561,0.08841065558718655,0.07936370018003258,0.08228641761254112,0.07823296317265982,0.027466586323199822,-0.041172828904598904,-0.038407614148799805,-0.036733934452642905,-0.03690539618359459,-0.03584191750481423,-0.03430820854531398,-0.026827986605020383,-0.02620413469260803,-0.056704212045978454,-0.0473934313897937,-0.04638096147685333,0.011274441355978992,0.01012610763362623,0.010008123340055478,0.009899443545038161,-0.008328033653837087,-0.00825154004883967,-0.008178475787603307,-0.003209832526333792,-0.0031018337774230756,-0.0031666444335752345,0.015895448952883612,0.01631301727439561,0.01625388682072426,0.002622812670361775,0.0026056562074785183,0.002596264507077027,-0.008597563448577095
7.263157894736841,0.07712091704126636,0.08121047005463662,0.0726778388714689,0.06519518517096329,0.07620860251000725,0.07269732477659724,0.022465336896402874,-0.05526603185738229,-0.05195823311097651,-0.04953150110781916,-0.06320997045474899,-0.0612879633188268,-0.05907107537862377,-0.04686559322565863,-0.045737505339139686,-0.07254202465377631,-0.060703058740118186,-0.05941794405256367,0.001905423860138894,0.002030655027756262,0.0020467311698300003,0.002086817918231995,-0.022147559894202806,-0.021870902906692573,-0.021622029784271433,-0.017383247601366017,-0.01712769101873172,-0.017031528228157747,0.011718880385396355,0.012166807553543962,0.012176487457091045,-0.006999239758530326,-0.006958494072418657,-0.006909058583492708,-0.001344966705529256
7.298245614035087,0.06111175942364437,0.0614931675645987,0.0554582365459766,0.04969528894989347,0.06808762969463866,0.06523886066326642,0.017378247764878844,-0.06638432889995732,-0.06265030846299403,-0.05956979295785492,-0.08598396559693142,-0.0833127890306704,-0.08052821680294436,-0.06425969558518341,-0.06269131506532753,-0.0845533236524769,-0.07080957374541794,-0.0693195580616211,-0.007358149314807917,-0.005992045473993769,-0.005845514425308319,-0.00566175678269322,-0.03466800596672308,-0.034207707176508326,-0.0337978470947618,-0.030529236036914556,-0.030140571147952915,-0.02988956991350836,0.0067886245247354635,0.007260651897071327,0.0073478076477314705,-0.015742835519019893,-0.015649579708127637,-0.015547207131755635,0.006318991494312615
7.333333333333332,0.04410105414722939,0.04068243948414509,0.037239882747114705,0.03330289980872415,0.058186663964063995,0.05610046549352363,0.012332463885832992,-0.07420062997011564,-0.07016953590700463,-0.06655689429913451,-0.10442685191603893,-0.10114251453355903,-0.09792417031279832,-0.07839514367142363,-0.07646610798360384,-0.09238022386583813,-0.07741133247000437,-0.07579026301015213,-0.016211025127790952,-0.013677370609444215,-0.013408197809573981,-0.0130908252883459,-0.04538876626705249,-0.04476883135373199,-0.04421919654495805,-0.04207757981028633,-0.04157581321762701,-0.04118316493655444,0.0012752586481077285,0.001764760009605404,0.0019345277784328374,-0.023202055683679605,-0.02306403762723254,-0.02291700168564465,0.01379987404725521
7.368421052631579,0.02645783021452678,0.019328960372688303,0.018505026497874305,0.016451525517110363,0.04680765847801133,0.04556183000061028,0.0074341491985945585,-0.0785383705896323,-0.07434621282306633,-0.07033895840304281,-0.11794198586702356,-0.11420068404087794,-0.11069500289150574,-0.08881150946017474,-0.08661335145660218,-0.09585592662606587,-0.08036675085861561,-0.07869118256688144,-0.024358755247292807,-0.020769169716647964,-0.02038913599638731,-0.019952764370467065,-0.05389994774903853,-0.0531506439538262,-0.05248778640468474,-0.05154336780930371,-0.05095303007446584,-0.05043824579848339,-0.004602690413478119,-0.0041026796236670465,-0.00384895318227417,-0.029043884106615382,-0.0288707845707298,-0.028689284284108794,0.02053815686951769
7.403508771929824,0.008538163893603866,-0.0020400136534721447,-0.00028351032163444895,-0.0004429508290821199,0.0342797613604017,0.033928642827215416,0.002766954583531739,-0.07937016276342386,-0.07515393048614,-0.07089870401168476,-0.12615111220836722,-0.12212225101142599,-0.11848207629815209,-0.09521439430511378,-0.09284643974540677,-0.09500117919639822,-0.07969142163497603,-0.07803729462956745,-0.03152801575056069,-0.027028793321521312,-0.026553275826826137,-0.026016523230880842,-0.05989680522278759,-0.05905320655095228,-0.05830777461637155,-0.05854650632038892,-0.05789545153362557,-0.05728334381206045,-0.010589453702917757,-0.010086205752821778,-0.009751056594431859,-0.03302295992247377,-0.03282588623250378,-0.03262150602139302,0.026046420017206584
7.43859649122807,-0.009322274067850946,-0.022933986010141363,-0.018694106876047084,-0.0169928322250504,0.02094766012819397,0.021521714559453196,-0.0016083384962859368,-0.07681035401334523,-0.07270241931415171,-0.06834836015571916,-0.1288988734602325,-0.12475789341736081,-0.12113640342416995,-0.09747908688500799,-0.09504423859201135,-0.09001281004330963,-0.07554858735885872,-0.07398811872132591,-0.03747628235008414,-0.03224359801473248,-0.03169107896501646,-0.03107587527202975,-0.0631887783356827,-0.0622891548755476,-0.061494520561436346,-0.06282542457214463,-0.06214352620931633,-0.06146297045311141,-0.016405391501916555,-0.01590644373766624,-0.015496210239646702,-0.03499109891484847,-0.03478202449471478,-0.03456714397725004,0.029939928105547402
7.473684210526315,-0.02681438401546288,-0.04291016216441573,-0.036336041330905094,-0.03284730087557375,0.007160277903347445,0.008666411768523265,-0.0056531228225914915,-0.07110228777055551,-0.0672253090492973,-0.06291779173977986,-0.12624785086893733,-0.12216916887717849,-0.11871408557120075,-0.09564696943127846,-0.09324755961421785,-0.08124547445400196,-0.06823391665874914,-0.06683282697299588,-0.04200048361790626,-0.03623459221849604,-0.03562606362318027,-0.03495685437777195,-0.0637030383056813,-0.06278716888241537,-0.06197799155106884,-0.06424463312847625,-0.06356244102689915,-0.06284498526408777,-0.021762171219826768,-0.021275262327520753,-0.020799834274626484,-0.034901333452555944,-0.034692513895929734,-0.03447969972503404,0.031958903293209676
7.508771929824562,-0.04366047998867119,-0.06158187378785619,-0.05286700199422773,-0.04769914452214757,-0.006739815112356121,-0.004317257721678569,-0.009349376143318301,-0.0626012210656306,-0.05906372173742833,-0.05493868536470606,-0.11846503731377173,-0.11461538292897477,-0.11146367536000651,-0.08991535912157636,-0.08764923522007176,-0.06918795945272899,-0.058155710936173985,-0.0569708814242214,-0.044944291163720534,-0.03886291832218834,-0.03822120231528395,-0.03752407805680761,-0.061482717883500695,-0.06059020414034065,-0.059800995457197886,-0.06279611989866553,-0.06214354115866225,-0.061421936960179516,-0.02637879416372072,-0.025911772554245097,-0.025384180248989176,-0.032806541612539084,-0.032609937635251406,-0.032411348961342665,0.03198145158754061
7.5438596491228065,-0.05961781866586681,-0.07862446749817595,-0.06799839065699083,-0.06128949816875846,-0.02042597121132224,-0.01712362253334604,-0.01269735713348584,-0.051753959396969536,-0.048646714947896665,-0.04482576813396278,-0.10600094379645683,-0.1025333348020306,-0.09980659421561638,-0.08062170291263618,-0.07857869020744324,-0.05443552645952799,-0.04581177803362007,-0.0448894073174117,-0.04620375910110483,-0.04003491271122304,-0.03938392030217762,-0.03868570391605275,-0.05668023462940077,-0.055848889886299824,-0.055112640959767034,-0.05859487258334088,-0.05799993426989969,-0.05730666158233913,-0.029997480133474603,-0.029558180671097542,-0.028994042993096936,-0.028853031572832498,-0.028679767256146776,-0.028506603970821127,0.03002678542550055
7.578947368421051,-0.07448086308531064,-0.0937787324646519,-0.08149847726117064,-0.07341065527236891,-0.03359577778097836,-0.02946916361328522,-0.015712776863890165,-0.03907631502423732,-0.0364696370261102,-0.03305607289325427,-0.08946276043953934,-0.08651131681825754,-0.08431194047408123,-0.06822321244817961,-0.06648207019506977,-0.037659817050826896,-0.031764249431510905,-0.031138551378345303,-0.04573109261221818,-0.03970554396737953,-0.039069497304165396,-0.0383968225624565,-0.049546315918933305,-0.04881069430514523,-0.04815761957481876,-0.05186908333627908,-0.05135682748683976,-0.05072268239941953,-0.03239845079878981,-0.03199453943607727,-0.03141139648878476,-0.023269701759599533,-0.02312958314494062,-0.022991602209961777,0.02624904469256799
