Q,k,gamma,warmup,tau,confirmation_steps,N,n_detected_mean,n_detected_std,n_detected_count,tpr_mean,tpr_std,tpr_count,total_alarms_mean,total_alarms_std,total_alarms_count,unmatched_alarms_mean,unmatched_alarms_std,unmatched_alarms_count,delay_mean_mean,delay_mean_std,delay_mean_count,delay_median_mean,delay_median_std,delay_median_count,max_ise_mean,max_ise_std,max_ise_count,mean_background_ise_mean,mean_background_ise_std,mean_background_ise_count
0.55,3.0,1.0,300,0.06,10,20000,11.0,0.0,5,1.0,0.0,5,23.4,2.4083189157584592,5,12.4,2.4083189157584592,5,516.4,86.86076062030075,5,322.0,116.52253001029457,5,0.09799651388404748,0.020590563570892877,5,0.026376898135359657,0.0016667985829665617,5
0.55,3.0,1.0,300,0.06,5,20000,11.0,0.0,5,1.0,0.0,5,23.4,2.4083189157584592,5,12.4,2.4083189157584592,5,518.4181818181818,85.65543601551667,5,323.4,108.10319144225114,5,0.08978363701084081,0.01960436866644637,5,0.026048914614777607,0.0016286560781161065,5
0.6,4.0,0.8,400,0.09,7,20000,11.0,0.0,5,1.0,0.0,5,23.6,1.5165750888103104,5,12.6,1.5165750888103098,5,544.4363636363636,121.85251212323774,5,277.0,66.85431923219322,5,0.12602908330631957,0.011831761091703153,5,0.04294566999371902,0.003111871588710615,5
0.55,3.0,0.8,200,0.09,10,20000,11.0,0.0,5,1.0,0.0,5,23.6,0.8944271909999157,5,12.6,0.8944271909999159,5,628.1636363636364,136.73843039580146,5,310.0,89.43153806124549,5,0.13121697947777994,0.005248620394916071,5,0.0410985675569502,0.0027133204333931256,5
0.55,6.0,0.8,300,0.085,7,20000,11.0,0.0,5,1.0,0.0,5,23.6,2.302172886644267,5,12.6,2.302172886644268,5,614.8363636363636,163.65504186328243,5,329.8,78.22531559540045,5,0.10865750732174695,0.0069134847268952195,5,0.03974937219267634,0.0013341051971194815,5
0.55,6.0,0.8,250,0.085,10,20000,11.0,0.0,5,1.0,0.0,5,23.6,2.7018512172212588,5,12.6,2.701851217221259,5,604.9090909090909,128.7555503096359,5,333.0,77.89415895944958,5,0.1324296846050939,0.02369087245202405,5,0.04029905544161222,0.0021679129899672004,5
0.6,4.0,1.0,300,0.07,10,20000,11.0,0.0,5,1.0,0.0,5,23.6,0.547722557505166,5,12.6,0.5477225575051662,5,594.9454545454546,139.5538137857535,5,415.4,169.618100449215,5,0.10829898810883012,0.006755806458626144,5,0.03259758836071329,0.0009043225044318613,5
0.6,4.0,0.8,400,0.09,5,20000,11.0,0.0,5,1.0,0.0,5,23.8,1.6431676725154984,5,12.8,1.643167672515498,5,542.5818181818182,112.10874295938693,5,272.0,30.95157508108432,5,0.10706529347406968,0.0015132783717285907,5,0.04284945167044473,0.003444213419651174,5
0.55,6.0,0.8,400,0.08,10,20000,11.0,0.0,5,1.0,0.0,5,23.8,1.9235384061671341,5,12.8,1.9235384061671343,5,497.1454545454546,82.02445210912204,5,357.2,173.4177038251862,5,0.1005705480077618,0.003596089729449477,5,0.036257334271607225,0.002030834247714801,5
0.6,4.0,0.8,400,0.085,10,20000,11.0,0.0,5,1.0,0.0,5,24.0,1.7320508075688776,5,13.0,1.732050807568877,5,550.4,120.65045132513461,5,261.4,57.15592707672582,5,0.12180252328664327,0.014736911935392193,5,0.04130720311166482,0.003067989071632706,5
